Lp.,Nazwa,Pasmo,Rx,Rx CTCSS,Rx DCS,Tx,QTH,QTH lokator,Latitude,Longitute,Informacje
56,SR7DMR,70cm,430.675000,,,438.275000,Góra Kamieńsk wieża EmiTel,JO91re,51.20564500,19.43541600,https://mapy73.pl/repeater/SR7DMR
57,SR7DVK,70cm,430.725000,,,438.325000,Kutno,JO92qf,52.24102300,19.35363900,https://mapy73.pl/repeater/SR7DVK
58,SR7LDA,70cm,430.850000,,,438.450000,Łódź,JO91ss,51.78079300,19.53396400,https://mapy73.pl/repeater/SR7LDA
59,SR7LDD,70cm,430.625000,,,438.225000,Łódź,JO91rr,51.74611500,19.45021600,https://mapy73.pl/repeater/SR7LDD
60,SR7LDX,70cm,431.900000,,,439.500000,Lodz,JO91ss,51.78079300,19.53396400,https://mapy73.pl/repeater/SR7LDX
61,SR7LL,2m,145.112500,,,145.712500,Łódź,JO91ss,51.78079300,19.53396400,https://mapy73.pl/repeater/SR7LL
62,SR7SAN,70cm,431.462500,,,439.062500,Koprzywnica,KO00to,50.59320200,21.59185300,https://mapy73.pl/repeater/SR7SAN
63,SR7UWI,70cm,430.925000,,,438.525000,Czastary,JO91dg,51.25981400,18.32212500,https://mapy73.pl/repeater/SR7UWI
64,SR8ALA,70cm,431.200000,,,439.475000,Domaradz,KN09xt,49.81491000,21.99291000,https://mapy73.pl/repeater/SR8ALA
65,SR8DRL,70cm,430.675000,,,438.275000,Lublin,KO11gf,51.23493700,22.54593300,https://mapy73.pl/repeater/SR8DRL
66,SR8DU,70cm,431.400000,,,439.000000,Drohobyczka-Dubiecko,KN19ev,49.88521600,22.38942000,https://mapy73.pl/repeater/SR8DU
67,SR8DVP,70cm,430.850000,,,438.450000,Kazimierz Dolny,KO01xh,51.32549600,21.96857300,https://mapy73.pl/repeater/SR8DVP
68,SR8RD,70cm,431.362500,,,438.962500,Stalowa Wola,KO10an,50.55336100,22.07427900,https://mapy73.pl/repeater/SR8RD
69,SR8UWD,70cm,430.912500,,,438.512500,Włodawa,KO11sn,51.55807800,23.55371000,https://mapy73.pl/repeater/SR8UWD
70,SR9ASR,70cm,430.700000,74.4,,438.300000,Góra Żar,JN99os,49.78723200,19.22477000,https://mapy73.pl/repeater/SR9ASR
71,SR9BN,70cm,431.625000,,,439.225000,Bedzin,JO90nh,50.31902200,19.11565900,https://mapy73.pl/repeater/SR9BN
72,SR9DBN,70cm,430.875000,,,438.475000,Mysłowice,JO90nf,50.21323600,19.12753900,https://mapy73.pl/repeater/SR9DBN
73,SR9DJK,70cm,430.775000,,,438.375000,Włodowice - Jura,JO90rn,50.57950600,19.44952300,https://mapy73.pl/repeater/SR9DJK
74,SR9DLI,70cm,431.375000,,,438.975000,Limanowa Lipowe,KN09eq,49.70491100,20.40289800,https://mapy73.pl/repeater/SR9DLI
75,SR9DMR,70cm,430.850000,,,438.450000,Katowice,JO90mf,50.22917000,19.04167000,https://mapy73.pl/repeater/SR9DMR
76,SR9DSK,70cm,430.925000,,,438.525000,SZCZAWNICA,KN09fk,49.41886900,20.47654400,https://mapy73.pl/repeater/SR9DSK
77,SR9GR,70cm,430.937500,162.2,,438.537500,Gorlice  maszt Emitel na Górze Cmentarnej,KN09np,49.66476200,21.15238900,https://mapy73.pl/repeater/SR9GR
78,SR9OKO,70cm,431.200000,,,438.800000,Strzybnik,JO90bd,50.13362000,18.16657000,https://mapy73.pl/repeater/SR9OKO
79,SR9PSD,70cm,431.712500,,,439.312500,Pszow,JO90ea,50.04070000,18.39530000,https://mapy73.pl/repeater/SR9PSD
80,SR9RR,70cm,431.500000,107.2,,439.100000,,KN09jm,49.52083000,20.79167000,https://mapy73.pl/repeater/SR9RR
81,SR9RS,70cm,431.725000,,,439.325000,Maciejowa,KN09jm,49.52756800,20.82126300,https://mapy73.pl/repeater/SR9RS
82,SR9SR,70cm,430.887500,,,438.487500,Rybnik,JO90gc,50.08670000,18.55380000,https://mapy73.pl/repeater/SR9SR
83,SR9TR,70cm,431.575000,,,439.175000,Tarnów,KO00ma,50.02509000,21.00756100,https://mapy73.pl/repeater/SR9TR
84,SR9TRZ,70cm,430.975000,,,438.575000,Trzebinia,JO90re,50.17385800,19.47239800,https://mapy73.pl/repeater/SR9TRZ
85,SR9UPZ,70cm,430.987500,,,438.587500,Klęczany,KN09hq,49.67876700,20.62643600,https://mapy73.pl/repeater/SR9UPZ
86,SR9US,70cm,430.525000,,,438.125000,Góra Czantoria,JN99jq,49.68750000,18.79167000,https://mapy73.pl/repeater/SR9US
87,SR9UVM,70cm,431.800000,,,439.400000,Kraków - RTCN Chorągwica EMITEL,KN09ax,49.95865600,20.08199900,https://mapy73.pl/repeater/SR9UVM
88,SR9UVT,70cm,431.637500,,,439.237500,Góra Koskowa POLKOMTEL,JN99vs,49.75330000,19.78220000,https://mapy73.pl/repeater/SR9UVT
89,SR9VDM,70cm,430.600000,,,438.200000,Lichwin,KN09lv,49.89171400,20.92862400,https://mapy73.pl/repeater/SR9VDM
90,SR9VJK,70cm,430.712500,,,438.312500,Jaworzyna Krynicka,KN09kk,49.41732800,20.89525400,https://mapy73.pl/repeater/SR9VJK
91,SR9VRJ,70cm,431.112500,,,438.712500,Góra Gubałówka EMITEL,JN99xh,49.30795900,19.93623200,https://mapy73.pl/repeater/SR9VRJ
92,SR9ZEA,70cm,430.800000,,,438.400000,Syrynia,JO90ea,50.02187000,18.33532000,https://mapy73.pl/repeater/SR9ZEA
