Lp.,Nazwa,Pasmo,Rx,Rx CTCSS,Rx DCS,Tx,QTH,QTH lokator,Latitude,Longitute,Informacje
68,OK0OZL,2m,145.037500,136.5,,145.637500,Zlín,JN89ue,49.20049700,17.69092200,https://mapy73.pl/repeater/OK0OZL
69,OK0PI,2m,145.112500,88.5,,145.712500,Jarník,JN79ch,49.30888900,14.18861100,https://mapy73.pl/repeater/OK0PI
70,OK0POR,2m,144.987500,,,145.587500,Vidovice,JN79iw,49.93833300,14.67555600,https://mapy73.pl/repeater/OK0POR
71,OK0POR,70cm,431.887500,,,439.487500,Vidovice,JN79iw,49.93833300,14.67555600,https://mapy73.pl/repeater/OK0POR
72,OK0Q,70cm,431.775000,,,439.375000,Pardubice,JO70ua,50.02027800,15.72500000,https://mapy73.pl/repeater/OK0Q
73,OK0S,2m,145.187500,118.8,,145.787500,Pardubice - Polabiny,JO70vb,50.04687800,15.76010200,https://mapy73.pl/repeater/OK0S
74,OK0T,2m,145.187500,88.5,,145.787500,Teplice - Doubravka,JO60wp,50.63833300,13.86000000,https://mapy73.pl/repeater/OK0T
75,OK0T,70cm,431.200000,88.5,,438.800000,Teplice - Doubravka,JO60wp,50.63861100,13.86027800,https://mapy73.pl/repeater/OK0T
76,OK0TAD,70cm,430.800000,,,438.400000,Milovice,JO70wg,50.27000000,15.91000000,https://mapy73.pl/repeater/OK0TAD
77,OK0X,70cm,431.750000,88.5,,439.350000,Praděd,JO80ob,50.08277800,17.23083300,https://mapy73.pl/repeater/OK0X
78,OK0YSF,2m,145.012500,71.9,,145.612500,Kotvrdovice,JN89ji,49.35194400,16.78750000,https://mapy73.pl/repeater/OK0YSF
79,OK1CQC,2m,144.837500,,,144.837500,Rokycany,JN69tr,49.73831900,13.59662100,https://mapy73.pl/repeater/OK1CQC
80,OK1HZ,70cm,438.100000,,,438.100000,Zlín-Malenovice,JN89te,49.20672300,17.58747200,https://mapy73.pl/repeater/OK1HZ
81,OK1KVR,2m,145.787500,,,145.187500,Vrchlabi,JO70to,50.60417000,15.62500000,https://mapy73.pl/repeater/OK1KVR
82,OK2JF,2m,144.862500,,,144.862500,Vysoké,JN79xn,49.57972200,15.97194400,https://mapy73.pl/repeater/OK2JF
83,OK3JS,70cm,438.100000,,,438.100000,Vrbno pod Pradědem Železná,JO80qd,50.12880600,17.36375000,https://mapy73.pl/repeater/OK3JS
84,OK4MD,70cm,434.650000,,,434.650000,Peklo - Jizerské hory,JO70ov,50.89435900,15.16745500,https://mapy73.pl/repeater/OK4MD
85,OK5DM,70cm,438.100000,,,438.100000,Ústí nad Labem- Centrum,JO70aq,50.68750000,14.04167000,https://mapy73.pl/repeater/OK5DM
